"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1623","Check displaying of empty courses list","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","2033","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","3124","Create course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","2298","Registration with correct email, username and password","LMS system","2026-06-22","passed","2026-06-22","Registration","Authentication","",""
"","1285","Check displaying of empty courses list","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","1807","Navigation from login page to registration page","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","3075","Create course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","1859","Registration with correct email, username and password","LMS system","2026-06-22","passed","2026-06-22","Registration","Authentication","",""
"","1838","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","4348","User login with correct email and password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1800","Check displaying of dashboard page","LMS system","2026-06-22","passed","2026-06-22","Dashboard","Dashboard","",""
"","1448","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","10374","User login with correct email and password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2387","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2007","Check displaying of dashboard page","LMS system","2026-06-22","passed","2026-06-22","Dashboard","Dashboard","",""
"","3214","Edit course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","5055","Edit course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","1589","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1560","Navigation from login page to registration page","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2384","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
