"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1365","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1881","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
"","1487","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1793","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
"","1923","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
"","3059","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1462","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1938","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","6749","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","2077","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2727","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","2213","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2907","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1539","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2160","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1979","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","3620","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1323","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","10567","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1943","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
