"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2167","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1332","Check displaying of empty courses list","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","1425","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2081","Registration with correct email, username and password","LMS system","2026-06-22","passed","2026-06-22","Registration","Authentication","",""
"","1389","Navigation from login page to registration page","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2071","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","12204","User login with correct email and password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2193","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","3310","Create course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","2028","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","5574","Edit course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","2092","Check displaying of dashboard page","LMS system","2026-06-22","passed","2026-06-22","Dashboard","Dashboard","",""
"","1857","Check displaying of empty courses list","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","1849","Registration with correct email, username and password","LMS system","2026-06-22","passed","2026-06-22","Registration","Authentication","",""
"","3200","Create course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","2783","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1842","Check displaying of dashboard page","LMS system","2026-06-22","passed","2026-06-22","Dashboard","Dashboard","",""
"","3933","Edit course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","3818","User login with correct email and password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1610","Navigation from login page to registration page","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
