"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10706","User login with correct email and password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1903","Check displaying of dashboard page","LMS system","2026-06-22","passed","2026-06-22","Dashboard","Dashboard","",""
"","3275","Create course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","2122","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2216","Create course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","5523","Edit course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","2643","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2211","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1752","Navigation from login page to registration page","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","2167","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","3109","User login with correct email and password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1638","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1998","Check displaying of dashboard page","LMS system","2026-06-22","passed","2026-06-22","Dashboard","Dashboard","",""
"","2067","Navigation from login page to registration page","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","1986","User login with wrong email or password","LMS system","2026-06-22","passed","2026-06-22","Authorization","Authentication","",""
"","3277","Edit course","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","4921","Check displaying of empty courses list","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
"","2117","Registration with correct email, username and password","LMS system","2026-06-22","passed","2026-06-22","Registration","Authentication","",""
"","1958","Registration with correct email, username and password","LMS system","2026-06-22","passed","2026-06-22","Registration","Authentication","",""
"","1558","Check displaying of empty courses list","LMS system","2026-06-22","passed","2026-06-22","Courses","Courses","",""
